"id","hawk_id","maslow_id","score","created_at"
"1","1","1","1","2025-12-19 06:36:29.947352"
"2","1","2","1","2025-12-19 06:36:29.947352"
"3","1","3","2","2025-12-19 06:36:29.947352"
"4","1","4","2","2025-12-19 06:36:29.947352"
"5","1","5","0","2025-12-19 06:36:29.947352"
"6","2","1","1","2025-12-19 06:36:30.417214"
"7","2","2","2","2025-12-19 06:36:30.417214"
"8","2","3","2","2025-12-19 06:36:30.417214"
"9","2","4","2","2025-12-19 06:36:30.417214"
"10","2","5","0","2025-12-19 06:36:30.417214"
"11","3","1","2","2025-12-19 06:36:30.876018"
"12","3","2","1","2025-12-19 06:36:30.876018"
"13","3","3","1","2025-12-19 06:36:30.876018"
"14","3","4","0","2025-12-19 06:36:30.876018"
"15","3","5","0","2025-12-19 06:36:30.876018"
"16","4","1","1","2025-12-19 06:36:31.28438"
"17","4","2","1","2025-12-19 06:36:31.28438"
"18","4","3","2","2025-12-19 06:36:31.28438"
"19","4","4","0","2025-12-19 06:36:31.28438"
"20","4","5","0","2025-12-19 06:36:31.28438"
"21","5","1","2","2025-12-19 06:36:31.630375"
"22","5","2","3","2025-12-19 06:36:31.630375"
"23","5","3","1","2025-12-19 06:36:31.630375"
"24","5","4","1","2025-12-19 06:36:31.630375"
"25","5","5","0","2025-12-19 06:36:31.630375"
"26","6","1","1","2025-12-19 06:36:31.998133"
"27","6","2","2","2025-12-19 06:36:31.998133"
"28","6","3","2","2025-12-19 06:36:31.998133"
"29","6","4","2","2025-12-19 06:36:31.998133"
"30","6","5","1","2025-12-19 06:36:31.998133"
"31","7","1","1","2025-12-19 06:36:32.371583"
"32","7","2","2","2025-12-19 06:36:32.371583"
"33","7","3","2","2025-12-19 06:36:32.371583"
"34","7","4","2","2025-12-19 06:36:32.371583"
"35","7","5","0","2025-12-19 06:36:32.371583"
"36","8","1","0","2025-12-19 06:36:32.712756"
"37","8","2","1","2025-12-19 06:36:32.712756"
"38","8","3","1","2025-12-19 06:36:32.712756"
"39","8","4","3","2025-12-19 06:36:32.712756"
"40","8","5","0","2025-12-19 06:36:32.712756"
"41","9","1","1","2025-12-19 06:36:32.927925"
"42","9","2","3","2025-12-19 06:36:32.927925"
"43","9","3","1","2025-12-19 06:36:32.927925"
"44","9","4","2","2025-12-19 06:36:32.927925"
"45","9","5","2","2025-12-19 06:36:32.927925"
"46","10","1","0","2025-12-19 06:36:33.054581"
"47","10","2","2","2025-12-19 06:36:33.054581"
"48","10","3","1","2025-12-19 06:36:33.054581"
"49","10","4","1","2025-12-19 06:36:33.054581"
"50","10","5","2","2025-12-19 06:36:33.054581"
"51","11","1","0","2025-12-19 06:36:33.283206"
"52","11","2","0","2025-12-19 06:36:33.283206"
"53","11","3","1","2025-12-19 06:36:33.283206"
"54","11","4","1","2025-12-19 06:36:33.283206"
"55","11","5","3","2025-12-19 06:36:33.283206"
"56","12","1","0","2025-12-19 06:36:33.408082"
"57","12","2","0","2025-12-19 06:36:33.408082"
"58","12","3","2","2025-12-19 06:36:33.408082"
"59","12","4","1","2025-12-19 06:36:33.408082"
"60","12","5","3","2025-12-19 06:36:33.408082"
"61","13","1","0","2025-12-19 06:36:33.551614"
"62","13","2","0","2025-12-19 06:36:33.551614"
"63","13","3","1","2025-12-19 06:36:33.551614"
"64","13","4","2","2025-12-19 06:36:33.551614"
"65","13","5","3","2025-12-19 06:36:33.551614"
"66","14","1","0","2025-12-19 06:36:33.699402"
"67","14","2","0","2025-12-19 06:36:33.699402"
"68","14","3","3","2025-12-19 06:36:33.699402"
"69","14","4","1","2025-12-19 06:36:33.699402"
"70","14","5","2","2025-12-19 06:36:33.699402"
"71","15","1","0","2025-12-19 06:36:33.847145"
"72","15","2","0","2025-12-19 06:36:33.847145"
"73","15","3","2","2025-12-19 06:36:33.847145"
"74","15","4","0","2025-12-19 06:36:33.847145"
"75","15","5","2","2025-12-19 06:36:33.847145"
"76","16","1","0","2025-12-19 06:36:34.003961"
"77","16","2","0","2025-12-19 06:36:34.003961"
"78","16","3","0","2025-12-19 06:36:34.003961"
"79","16","4","0","2025-12-19 06:36:34.003961"
"80","16","5","3","2025-12-19 06:36:34.003961"
"81","17","1","0","2025-12-19 06:36:34.447562"
"82","17","2","0","2025-12-19 06:36:34.447562"
"83","17","3","0","2025-12-19 06:36:34.447562"
"84","17","4","0","2025-12-19 06:36:34.447562"
"85","17","5","3","2025-12-19 06:36:34.447562"
