"id","emotion1_id","emotion2_id","combined_name_en","combined_name_mn","combination_type","description","created_at","color","emoji"
"1","2","5","Love","Хайр","primary",,"2025-12-18 18:21:49.863574","#FFB6C1","💕"
"2","5","8","Submission","Даатгал","primary",,"2025-12-18 18:21:49.863574","#A8DADC","🙏"
"3","8","14","Awe","Гайхах","primary",,"2025-12-18 18:21:49.863574","#B0C4DE","😮"
"4","14","17","Disapproval","Зөвшөөрөхгүй байдал","primary",,"2025-12-18 18:21:49.863574","#A9A9A9","👎"
"5","17","20","Remorse","Гэмшил","primary",,"2025-12-18 18:21:49.863574","#B565A7","😔"
"6","20","23","Contempt","Жигшүүрт","primary",,"2025-12-18 18:21:49.863574","#CD5C5C","😤"
"7","23","2","Optimism","Өөдрөг байдал","primary",,"2025-12-18 18:21:49.863574","#FFD966","🌈"
"8","23","11","Aggressiveness","Түрэмгий байдал","primary",,"2025-12-18 18:21:49.863574","#FFA07A","⚔️"
"9","2","8","Guilt","Гэм буруутай мэдрэмж","secondary",,"2025-12-18 18:21:49.863574","#C8A2C8","😰"
"10","5","11","Curiosity","Сониуч зан","secondary",,"2025-12-18 18:21:49.863574","#F0E68C","🤔"
"11","8","17","Envy","Атаархал","secondary",,"2025-12-18 18:21:49.863574","#9999CC","😒"
"12","11","20","Cynicism","Итгэлгүй байдал","secondary",,"2025-12-18 18:21:49.863574","#C19A6B","🙄"
"13","14","23","Pessimism","Сөрөг байдал","secondary",,"2025-12-18 18:21:49.863574","#A9A9A9","😞"
"14","17","2","Morbidness","Гунигтай байдал","secondary",,"2025-12-18 18:21:49.863574","#9B7EBD","🖤"
"15","20","11","Outrage","Уур хилэн","secondary",,"2025-12-18 18:21:49.863574","#E07A5F","😠"
"16","23","14","Anxiety","Түгшүүр","secondary",,"2025-12-18 18:21:49.863574","#ADD8E6","😟"
"17","2","11","Delight","Баяр хөөр","tertiary",,"2025-12-18 18:21:49.863574","#FFE4B5","😁"
"18","5","14","Sentimentality","Сэтгэл хөдлөл","tertiary",,"2025-12-18 18:21:49.863574","#D8BFD8","🥹"
"19","8","20","Shame","Ичгүүр","tertiary",,"2025-12-18 18:21:49.863574","#BC8F8F","😳"
"20","11","23","Disapproval","Дургүйцэл","tertiary",,"2025-12-18 18:21:49.863574","#BDB76B","😑"
"21","14","2","Bittersweetness","Гашуун-амтат","tertiary",,"2025-12-18 18:21:49.863574","#D3B8C3","🥲"
"22","17","5","Dominance","Давамгай байдал","tertiary",,"2025-12-18 18:21:49.863574","#9370DB","😎"
"23","20","8","Frozenness","Хөлдөлт","tertiary",,"2025-12-18 18:21:49.863574","#8B7D6B","😶"
"24","23","17","Pride","Бардам байдал","tertiary",,"2025-12-18 18:21:49.863574","#DAA06D","😏"
