"id","name_en","name_mn","opposite_emotion_id","intensity_level","base_emotion_id","color","emoji","created_at","category_id"
"1","Serenity","Тайван байдал","13","1","1","#FFFACD","😌","2025-12-18 18:14:05.405046",
"2","Joy","Баяр","14","2","1","#FFD700","😊","2025-12-18 18:14:05.405046",
"3","Ecstasy","Хөөрөл","15","3","1","#FF8C00","😄","2025-12-18 18:14:05.405046",
"4","Acceptance","Хүлээн авалт","16","1","2","#90EE90","🙂","2025-12-18 18:14:05.405046",
"5","Trust","Итгэл","17","2","2","#32CD32","🤝","2025-12-18 18:14:05.405046",
"6","Admiration","Биширэл","18","3","2","#228B22","🤩","2025-12-18 18:14:05.405046",
"7","Apprehension","Түгшүүр","19","1","3","#B0E0E6","😰","2025-12-18 18:14:05.405046",
"8","Fear","Айдас","20","2","3","#4682B4","😨","2025-12-18 18:14:05.405046",
"9","Terror","Аймшиг","21","3","3","#00008B","😱","2025-12-18 18:14:05.405046",
"10","Distraction","Сатаашрал","22","1","4","#FFE4B5","😮","2025-12-18 18:14:05.405046",
"11","Surprise","Гайхшрал","23","2","4","#FFA500","😲","2025-12-18 18:14:05.405046",
"12","Amazement","Гайхамшиг","24","3","4","#FF4500","🤯","2025-12-18 18:14:05.405046",
"13","Pensiveness","Бодол","1","1","5","#D3D3D3","😔","2025-12-18 18:14:05.405046",
"14","Sadness","Гуниг","2","2","5","#808080","😢","2025-12-18 18:14:05.405046",
"15","Grief","Уйтгар","3","3","5","#2F4F4F","😭","2025-12-18 18:14:05.405046",
"16","Boredom","Уйтгартай байдал","4","1","7","#DDA0DD","😒","2025-12-18 18:14:05.405046",
"17","Disgust","Жигшил","5","2","7","#9370DB","🤢","2025-12-18 18:14:05.405046",
"18","Loathing","Зэвүүцэл","6","3","7","#4B0082","🤮","2025-12-18 18:14:05.405046",
"19","Annoyance","Бухимдал","7","1","6","#FFB6C1","😠","2025-12-18 18:14:05.405046",
"20","Anger","Уур хилэн","8","2","6","#FF69B4","😡","2025-12-18 18:14:05.405046",
"21","Rage","Ууртай байдал","9","3","6","#DC143C","🤬","2025-12-18 18:14:05.405046",
"22","Interest","Сонирхол","10","1","8","#F0E68C","🤔","2025-12-18 18:14:05.405046",
"23","Anticipation","Хүлээлт","11","2","8","#DAA520","😃","2025-12-18 18:14:05.405046",
"24","Vigilance","Сэрэмжлэл","12","3","8","#B8860B","🧐","2025-12-18 18:14:05.405046",
